date,NATIONAL,NORTHWEST U.S.,nat_nw_diff
2018-09-07,1.11,0.99,-0.1200000000000001
2018-09-14,1.17,1.4,0.22999999999999998
2018-09-21,1.15,1.18,0.030000000000000027
2018-09-28,1.32,1.5,0.17999999999999994
2018-10-05,1.2,1.27,0.07000000000000006
2018-10-12,1.14,1.38,0.24
2018-10-19,1.37,0.78,-0.5900000000000001
2018-10-26,1.35,1.07,-0.28
2018-11-02,1.39,1.37,-0.019999999999999796
2018-11-09,1.26,0.9,-0.36
2018-11-16,1.55,1.58,0.030000000000000027
2018-11-23,1.51,1.66,0.1499999999999999
2018-11-30,1.11,0.96,-0.15000000000000013
2018-12-07,1.21,1.03,-0.17999999999999994
2018-12-14,1.34,1.01,-0.33000000000000007
2018-12-21,1.54,1.43,-0.1100000000000001
2018-12-28,1.39,1.27,-0.11999999999999988
2019-01-04,1.15,1.1,-0.04999999999999982
2019-01-11,1.62,1.9,0.2799999999999998
2019-01-18,1.27,0.98,-0.29000000000000004
2019-01-25,1.57,1.7,0.1299999999999999
2019-02-01,1.44,1.52,0.08000000000000007
2019-02-08,1.24,1.04,-0.19999999999999996
2019-02-15,1.69,1.57,-0.11999999999999988
2019-02-22,1.46,0.88,-0.58
2019-03-01,1.57,1.68,0.10999999999999988
2019-03-08,1.53,1.62,0.09000000000000008
2019-03-15,1.48,1.23,-0.25
2019-03-22,1.6,1.18,-0.42000000000000015
2019-03-29,1.39,1.04,-0.34999999999999987
2019-04-05,1.52,0.81,-0.71
2019-04-12,1.19,1.13,-0.06000000000000005
2019-04-19,1.48,1.15,-0.33000000000000007
2019-04-26,1.7,2.29,0.5900000000000001
2019-05-03,1.31,1.15,-0.16000000000000014
2019-05-10,1.13,1.22,0.09000000000000008
2019-05-17,1.11,1.02,-0.09000000000000008
2019-05-24,1.38,1.41,0.030000000000000027
2019-05-31,1.4,0.99,-0.4099999999999999
2019-06-07,1.33,1.05,-0.28
2019-06-14,1.27,0.86,-0.41000000000000003
2019-06-21,1.38,0.89,-0.4899999999999999
2019-06-28,1.46,1.29,-0.16999999999999993
2019-07-05,1.63,1.49,-0.1399999999999999
2019-07-12,1.41,1.27,-0.1399999999999999
2019-07-19,1.23,1.44,0.20999999999999996
2019-07-26,1.48,0.99,-0.49
2019-08-02,1.28,1.46,0.17999999999999994
2019-08-09,1.5,1.87,0.3700000000000001
2019-08-16,1.49,0.98,-0.51
2019-08-23,1.4,0.83,-0.57
2019-08-30,1.32,1.29,-0.030000000000000027
